X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
INSA[93],9–12 Jul 2021,"2,087",17,28,17,12.5,11,7,7.5
Forsa[87],6–12 Jul 2021,"2,502",15,30,19,12,9,7,8
INSA[93],5–9 Jul 2021,"1,352",17,28,17,12,11,8,7
Kantar[92],29 Jun–6 Jul 2021,"1,405",15,29,19,11,11,8,7
INSA[93],2–5 Jul 2021,"2,056",16.5,29,18,12.5,10,7,7
Forsa[87],29 Jun–5 Jul 2021,"2,505",15,30,19,11,10,7,8
INSA[93],28 Jun–2 Jul 2021,"1,352",17,28,18,12,10,7,8
Infratest dimap[95],28–30 Jun 2021,"1,317",15,28,20,11,11,7,8
Kantar[92],23–29 Jun 2021,"1,418",16,28,20,10,11,7,8
YouGov[90],25–28 Jun 2021,"1,648",15,30,19,11,11,7,7
INSA[93],25–28 Jun 2021,"2,060",16,29.5,18,13,11,7.5,5
Forsa[87],22–28 Jun 2021,"2,501",14,30,20,12,9,7,8
Ipsos[85],21–27 Jun 2021,"2,002",15,28,21,11,10,8,7
INSA[93],21–25 Jun 2021,"1,203",17,28,19,12,11,7,6
Forschungsgruppe Wahlen[86],22–24 Jun 2021,"1,271",14,29,22,10,10,7,8
Infratest dimap[95],22–23 Jun 2021,"1,217",15,28,21,11,12,6,7
Kantar[92],15–22 Jun 2021,"1,430",17,28,19,11,10,7,8
Forsa[87],15–21 Jun 2021,2 502,15,29,21,13,9,6,7
INSA[93],18–21 Jun 2021,"2,082",15.5,28.5,19,14,10.5,7,5.5
GMS[98],16–21 Jun 2021,"1,002",16,28,20,12,10,8,6
Forsa[87],15–21 Jun 2021,2.502,15,29,21,13,9,6,7
INSA[93],14–18 Jun 2021,"1,502",16,28,20,13,11,6,6
Kantar[92],9–15 Jun 2021,1.413,17,27,20,12,10,7,7
INSA[93],11–14 Jun 2021,"2,038",16.5,27.5,19.5,13.5,11,6,6
INSA[93],7–11 Jun 2021,"1,401",16,27,20,13,11,7,6
Infratest dimap[95],7–9 Jun 2021,"1,316",14,28,20,12,12,7,7
Forschungsgruppe Wahlen[86],7–9 Jun 2021,"1,232",15,28,22,10,11,7,7
Kantar[92],2–8 Jun 2021,"1,421",16,26,21,13,11,7,6
INSA[93],4–7 Jun 2021,"2,015",15.5,26.5,20.5,13.5,11,7,6
Forsa[87],1–7 Jun 2021,"2,501",14,27,22,14,9,6,8
INSA[93],31 May–4 Jun 2021,"1,380",17,26,21,12,12,6,6
Kantar[92],26 May–1 Jun 2021,"1,419",16,24,22,13,11,7,7
INSA[93],28–31 May 2021,"2,040",15.5,25.5,21.5,13.5,11,6.5,6.5
Forsa[87],25–31 May 2021,"2,500",14,25,24,14,9,6,8
INSA[93],25–28 May 2021,"1,301",16,25,22,13,12,7,5
INSA[93],21–25 May 2021,"2,128",16,26,22,12.5,11.5,6.5,5.5
Kantar[92],19–25 May 2021,"1,422",15,25,23,12,12,7,6
Ipsos[85],18–25 May 2021,"2,014",13,25,23,11,13,9,6
YouGov[90],21–24 May 2021,"1,706",15,26,22,12,11,7,7
Última elección,24 Sep 2017,–,20.5,32.9,8.9,10.7,12.6,9.2,5.0
